Feature,Importance
high50,0.034575094
high20,0.03396891
low50,0.033714693
ema100,0.033596672
low20,0.033236735
bb_lower,0.032129012
ema200,0.03195079
close,0.03161926
bb_upper,0.028987385
ema50,0.028066216
month,0.026266512
ema20,0.025691673
low,0.024937904
high,0.024303196
dist_ema200,0.023809286
dist_ema100,0.023414323
volatility20,0.022832626
day_of_week,0.02267403
ema50_slope,0.021724422
macd_signal,0.021645943
ema200_slope,0.021625495
ema100_slope,0.021563489
adx14,0.021258824
bb_width,0.020939598
dist_ema50,0.020634396
atr14,0.019618716
macd,0.01825135
spread,0.017900517
return_20,0.017868128
open,0.017603833
real_volume,0.01731924
macd_hist,0.016327266
quarter,0.015920881
roc,0.015712067
dist_ema20,0.015525667
ema20_slope,0.014305029
rsi14,0.01371198
return_10,0.013620395
hour,0.013610181
cci,0.013419006
stoch,0.012404436
williams,0.0121915
return_5,0.011379615
tick_volume,0.011278367
return_3,0.010790471
lower_wick,0.009138629
upper_wick,0.009113803
body,0.009085936
return_1,0.008736429
